Abbey 	Fencing Salon 	Parochial School
Agricultural Product Wholesaler 	Fishing Pier 	Pet Supply Store
Agricultural Production 	Fishing Pond 	Pet Trainer
Agricultural Service 	Fishing Store 	Petrochemical Engineer
Agricultural Service Supply Agency 	Health Club 	Petroleum Products Company
Agriculture Cooperative 	Exercise Equipment Store 	Pharmaceutical Company
Agrochemicals Supplier 	Fitness Equipment Wholesaler 	Pharmaceutical Lab
Aikido Club 	Fitted Furniture Supplier 	Pharmaceutical Products Wholesaler
Aikido School 	Flag Store 	Pharmacy
Air Compressor Repair Service 	Flamenco Dance Store 	Philharmonic Hall
Air Compressor Supplier 	Flamenco School 	Pho Restaurant
Air Conditioning Contractor 	Flamenco Theater 	Phone Repair Service
Air Conditioning Repair Service 	Flavours Fragrances and Aroma Supplier 	Photo Agency
Air Conditioning Store 	Flea Market 	Photo Lab
Air Conditioning System Supplier 	Flight School 	Photo Restoration Service
Air Duct Cleaning Service 	Floating Market 	Photo Shop
Air Filter Supplier 	Floor Refinishing Service 	Photocopiers Supplier
Air Force Base 	Floor Sanding and Polishing Service 	Photographer
Air Taxi 	Flooring Contractor 	Photography Class
Airbrushing Service 	Flooring Store 	Photography School
Airbrushing Supply Store 	Floridian Restaurant 	Photography Service
Aircraft Maintenance Company 	Florist 	Photography Studio
Aircraft Manufacturer 	Flour Mill 	Physiatrist
Aircraft Rental Service 	Flower Delivery 	Physical Examination Center
Aircraft Supply Store 	Flower Designer 	Physical Fitness Program
Airline 	Flower Market 	Physician Referral Service
Airline Ticket Agency 	FMCG Goods Wholesaler 	Physical Therapist
Airplane 	FMCG Manufacturer 	Physical Therapy Clinic
Airport 	Foam Rubber Producer 	Physiotherapy Equip Supplier
Airport Hotel 	Foam Rubber Supplier 	Piano Bar
Airport Shuttle Service 	Folk High School 	Piano Instructor
Airsoft Supply Store 	Fondue Restaurant 	Piano Maker
Airstrip 	Food and Beverage Consultant 	Piano Moving Service
Alcohol Manufacturer 	Food and Beverage Exporter 	Piano Repair Service
Alcohol Retail Monopoly 	Food Bank 	Piano Store
Alcoholic Beverage Wholesaler 	Food Broker 	Piano Tuning Service
Alcoholism Treatment Program 	Food Court 	Pick Your Own Farm Produce
Allergist 	Food Machinery Supplier 	Picnic Ground
Alliance Church 	Food Manufacturer 	Picture Frame Renovating and Restoring Service
Alsace Restaurant 	Food Manufacturing Supply 	Picture Frame Shop
Alternative Fuel Station 	Food Processing Company 	Pie Shop
Alternative Medicine Practitioner 	Food Processing Equipment 	Pilates Studio
Alternator Supplier 	Food Producer 	Pile Driver
Aluminum Supplier 	Food Products Supplier 	Pilgrimage Place
Aluminum Frames Supplier 	Food Seasoning Manufacturer 	Pinatas Supplier
Aluminum Welder 	Foot Bath 	Pinball Machine Supplier
Aluminum Window 	Foot Care 	Pine Furniture Shop
Amateur theater 	Foot Massage Parlor 	Pipe Supplier
Ambulance Service 	Football Club 	Piste Vtt
American Restaurant 	American Football Field 	Pizza Delivery
Amish Furniture Store 	Ford Dealer 	Pizza Restaurant
Ammunition Supplier 	Foreclosure Service 	Pizza Takeaway
Amphitheater 	Foreign Consulate 	Place of Worship
Amusement Center 	Foreign Exchange Students Organization 	Planetarium
Amusement Machine Supplier 	Foreign Languages Program School 	Plant and Machinery Hire
Amusement Park 	Foreign Trade Consultant 	Plant Nursery
Amusement Park Ride 	Foreman Builders Association 	Plast Window Store
Amusement Ride Supplier 	Forensic Consultant 	Plasterer
An Hui Restaurant 	Forestry Service 	Plastic Bag Supplier
Anago Restaurant 	Forklift Dealer 	Plastic Bags Wholesaler
Andalusian Restaurant 	Forklift Rental Service 	Plastic Fabrication Company
Anesthesiologist 	Formal Wear Store 	Plastic Injection Molding Service
Angler Fish Restaurant 	Fortress 	Plastic Products Supplier
Anglican Church 	Fortune Telling Services 	Plastic Resin Manufacturer
Animal Control Service 	Foster Care Service 	Plastic Surgeon
Animal Hospital 	Foundation 	Plastic Surgery Clinic
Animal Park 	Foundry 	Plastic Wholesaler
Animal Protection Organization 	Fountain Contractor 	Plating Service
Animal Rescue Service 	Foursquare Church 	Play School
Animal Shelter 	Fraternal Organization 	Playground
Animation Studio 	Free Clinic 	Playground Equipment Supplier
Anime Club 	Free Parking Lot 	Playgroup
Anodizer 	Freestyle Wrestling 	Plumber
Antique Furniture Restoration Service 	Freight Forwarding Service 	Plumbing Supply Store
Antique Furniture Store 	French Language School 	Plus Size Clothing Store
Antique Store 	French Restaurant 	Plywood Supplier
Apartment Building 	French Steakhouse Restaurant 	Pneumatic Tools Supplier
Apartment Complex 	Fresh Food Market 	Po’ Boys Restaurant
Apartment Rental Agency 	Fried Chicken Takeaway 	Podiatrist
Apostolic Church 	Friends Church 	Police Academy
Appliance Parts Supplier 	Frituur 	Police Supply Store
Appliance Rental Service 	Frozen Dessert Supplier 	Polish Restaurant
Appliance Repair Service 	Frozen Food Manufacturer 	Political Party
Appliance Store 	Frozen Food Store 	Polo Club
Appliances Customer Service 	Frozen Yogurt Shop 	Polygraph Service
Appraiser 	Fruit and Vegetable Processing 	Polymer Supplier
Apprenticeship Center 	Fruit and Vegetable Store 	Polynesian Restaurant
Aquaculture Farm 	Fruit and Vegetable Wholesaler 	Polytechnic
Aquarium 	Fruit Parlor 	Polythene and Plastic Sheeting Supplier
Aquarium Shop 	Fruit Wholesaler 	Pond Contractor
Aquatic Centre 	Fruits Wholesaler 	Pond Fish Supplier
Arboretum 	Fu Jian Restaurant 	Pond Supply Store
Arborist and Tree Surgeon 	Fuel Supplier 	Pontiac Dealer
Archaeological Museum 	Fugu Restaurant 	Pony Club
Archery Club 	Full Dress Rental Service 	Pony Ride Service
Archery Event 	Full Gospel Church 	Pool Academy
Archery Hall 	Function Room Facility 	Pool Billard Club
Archery Range 	Fund Management Company 	Pool Cleaning Service
Archery Store 	Funeral Director 	Pool Hall
Architect 	Funeral Home 	Popcorn Store
Architects Association 	Fur Coat Shop 	Katsudon Restaurant
Architectural and Engineering Model Maker 	Fur Manufacturer 	Porridge Restaurant
Architectural Designer 	Fur Service 	Porsche Dealer
Architectural Salvage Store 	Furnace Parts Supplier 	Port Authority
Architecture Firm 	Furnace Repair Service 	Port Operating Company
Architecture School 	Furnace Store 	Portable Building Manufacturer
Archive 	Furnished Apartment Building 	Portable Toilet Supplier
Arena 	Furniture Accessories 	Portrait Studio
Argentinian Restaurant 	Furniture Accessories Supplier 	Portuguese Restaurant
Armed Forces Association 	Furniture Maker 	Post Office
Armenian Church 	Furniture Manufacturer 	Poster Store
Armenian Restaurant 	Furniture Rental Service 	Pottery Classes
Army & Navy Surplus Shop 	Furniture Repair Shop 	Pottery Manufacturer
Army Barracks 	Furniture Store 	Pottery Store
Army Facility 	Furniture Wholesaler 	Poultry Farm
Army Museum 	Fusion Restaurant 	Poultry Store
Aromatherapy Class 	Futon Store 	Powder Coating Service
Aromatherapy Service 	Futsal Court 	Power Station
Aromatherapy Supply Store 	Galician Restaurant 	Power Plant Consultant
Art Cafe 	Gambling House 	Power Plant Equipment Supplier
Art Center 	Gambling Instructor 	Prawn Fishing
Art Dealer 	Game Store 	Pre Gymnasium School
Art Gallery 	Garage Builder 	Precision Engineer
Art Handcraft 	Garage Door Supplier 	Prefabricated House Companies
Art Museum 	Garbage Collection Service 	Prefecture
Art Restoration Service 	Garbage Dump 	Japanese Prefecture Government Office
Art School 	Garbage Dump Service 	Pregnancy Care Center
Art Studio 	Garden 	Preparatory School
Art Supply Store 	Garden Building Supplier 	Presbyterian Church
Artificial Plant Supplier 	Garden Center 	Preschool
Artist 	Garden Furniture Shop 	Press Advisory
Artistic Painting School 	Garden Machinery Supplier 	Pressure Washing Service
Arts Organization 	Gardener 	Pretzel Store
Grill 	Garment Exporter 	Priest
Asbestos Testing Service 	Gas Company 	Primary School
Ashram 	Gas Cylinders Supplier 	Print Shop
Asian Fusion Restaurant 	Gas Engineer 	Printed Music Publisher
Asian Grocery Store 	Gas Installation Service 	Printer Ink Refill Store
Asian Household Goods Store 	Gas Logs Supplier 	Printer Repair Service
Asian Massage Therapist 	Gas Shop 	Printing Equipment and Supplies
Asian Restaurant 	Gas Station 	Printing Equipment Supplier
Asphalt Contractor 	Gasfitter 	Prison
Asphalt Mixing Plant 	Gasket Manufacturer 	Private College
Assemblies of God Church 	Gastroenterologist 	Private Equity Firm
Assembly Room 	Gastrointestinal Surgeon 	Private Golf Course
Assistante Maternelle 	Gastropub 	Homestay
Assisted Living Facility 	Gay & Lesbian Organization 	Private Hospital
Association or Organization 	Gay Bar 	Private Investigator
Astrologer 	Gay Night Club 	Private School
Asturian Restaurant 	Gay Sauna 	Private Sector Bank
Athletic Club 	Gazebo Builder 	Private Tutor
Athletic Field 	Gemologist 	Private University
Athletic Park 	Genealogist 	Probation Office
Athletic Track 	General Contractor 	Process Server
ATM 	General Hospital 	Proctologist
Attorney Referral Service 	General Practice Attorney 	Produce Market
ATV Dealer 	General Practitioner 	Produce Wholesaler
ATV Rental Service 	General Register Office 	Producteur de Champagne
ATV Repair Shop 	General Store 	Producteur de Foie Gras
Auction House 	Generator Shop 	Producteur Eau Minerale
Audi Dealer 	Geography and History Faculty 	Professional and Hobby Associations
Audio Visual Consultant 	Geological Research Company 	Professional Organizer
Audio Visual Equipment Rental Service 	Geological Service 	Promenade
Audio Visual Equipment Repair Service 	Geologist 	Promotional Products Supplier
Audio Visual Equipment Supplier 	Georgian Restaurant 	Propane Supplier
Audiologist 	Geotechnical Engineer 	Propeller Shop
Auditor 	German Language School 	Property Administrator
Auditorium 	German Restaurant 	Property Investment
Australian Goods Store 	Ghost Town 	Property Maintenance
Australian Restaurant 	Gift Basket Store 	Property Management Company
Austrian Restaurant 	Gift Shop 	Land Registry Office
Auto Accessories Wholesaler 	Gift Wrap Store 	Prosthetics
Auto Air Conditioning Service 	Girl Bar 	Protective Clothing Supplier
Auto Auction 	Girls’ High School 	Protestant Church
Auto Body Parts Supplier 	Glass & Mirror Shop 	Provence Restaurant
Auto Body Shop 	Glass Block Supplier 	Provincial Council
Auto Broker 	Glass Blower 	Psychiatric Hospital
Auto Chemistry Shop 	Glass Cutting Service 	Psychiatrist
Auto Dent Removal Service 	Glass Engraver 	Psychic
Auto Electrical Service 	Glass Etching Service 	Psychoanalyst
Auto Glass Shop 	Glass Industry 	Psychologist
Auto Insurance Agency 	Glass Manufacturer 	Psychoneurological Specialized Clinic
Auto Machine Shop 	Glass Merchant 	Psychopedagogy Clinic
Auto Market 	Glass Repair Service 	Psychosomatic Medical Practitioner
Auto Parts Manufacturer 	Glass Shop 	Psychotherapist
Auto Parts Market 	Glassware Manufacturer 	Pub
Auto Parts Store 	Glassware Store 	Public Amenity House
Auto Radiator Repair Service 	Glassware Wholesaler 	Public Bath
Auto Repair Shop 	Glazier 	Public Bathroom
Auto Restoration Service 	Gluten-Free Restaurant 	Public Defender’s Office
Auto Spring Shop 	GMC Dealer 	Public Female Bathroom
Auto Sunroof Shop 	Go-Kart Track 	Public Golf Course
Auto Tag Agency 	Gold Dealer 	Public Health Department
Auto Tune Up Service 	Gold Mining Company 	Public Housing
Auto Upholsterer 	Goldfish Store 	Public Library
Auto Wrecker 	Goldsmith 	Public Male Bathroom
Automation Company 	Golf Cart Dealer 	Public Medical Center
Automobile Storage Facility 	Golf Club 	Public Parking Space
Aviation Consultant 	Golf Course 	Public Prosecutors Office
Aviation Training Institute 	Golf Course Builder 	Public Relations Firm
Awning Supplier 	Golf Driving Range 	Public Safety Office
Baby Clothing Store 	Golf Instructor 	Public Sauna
Baby Store 	Golf Resort 	Public School
Baby Swimming School 	Gospel Church 	Public Sector Bank
Childminder 	Gourmet Grocery Store 	Public Swimming Pool
Badminton Club 	Government College 	Public University
Badminton Complex 	Government Economic Program 	Public Webcam
Badminton Court 	Government Hospital 	Public Wheelchair-Accessible Bathroom
Bag Shop 	Government Office 	Public Works Department
Bagel Shop 	Government School 	Publisher
Bahá’í House of Worship 	GPS Supplier 	Puerto Rican Restaurant
Bail Bonds Service 	Graduate School 	Pulmonologist
Bailiff 	Graffiti Removal Service 	Pump Supplier
Bait Shop 	Grain Elevator 	Pumping Equipment and Service
Bakery 	Grammar School 	Pumpkin Patch
Bakery Equipment 	Grand Cafe 	Punjabi Restaurant
Baking Supply Store 	Grande Ecole 	Puppet Theater
Ballet School 	Granite Supplier 	PVC Industry
Ballet Theater 	Graphic Designer 	PVC Windows Supplier
Balloon Artist 	Gravel Pit 	Qing Fang Market Place
Balloon Ride Tour Agency 	Gravel Plant 	Quad Rental Service
Balloon Store 	Greco Roman Wrestling 	Quaker Church
Ballroom 	Greek Orthodox Church 	Quantity Surveyor
Ballroom Dance Instructor 	Greek Restaurant 	Quarry
Band 	Green Energy Supplier 	Québécois Restaurant
Bangladeshi Restaurant 	Greengrocer 	Quilt Shop
Bank 	Greenhouse 	Race Car Dealer
Bankruptcy Attorney 	Greeting Card Shop 	Racecourse
Bankruptcy Service 	Greyhound Stadium 	Racing Car Parts Store
Banner Store 	Grill Store 	Raclette Restaurant
Banquet Hall 	Grocery Delivery Service 	Racquetball Club
Baptist Church 	Grocery Store 	Radiator Repair Service
Bar 	Ground Self Defense Force 	Radiator Shop
Bar & Grill 	Group Accommodation 	Radio Broadcaster
Bar PMU 	Group Home 	Radiologist
Bar Restaurant Furniture Store 	Guardia Civil 	Raft Trip Outfitter
Bar Stool Supplier 	Guardia Di Finanza Police 	Rafting
Bar Tabac 	Guatemalan Restaurant 	Rail Museum
Barbecue Restaurant 	Guest House 	Railing Contractor
Barbecue area 	Gui Zhou Restaurant 	Railroad Company
Barber School 	Guitar Instructor 	Railroad Contractor
Barber Shop 	Guitar Store 	Railroad Equipment Supplier
Barber Supply Store 	Gun Club 	Railroad Ties Supplier
Bark Supplier 	Gun Shop 	Railway Services
Barrel Supplier 	Offal Barbecue Restaurant 	Rainwater Tank Supplier
Barrister 	Gutter Cleaning Service 	Ramen Restaurant
Bartending School 	Gym 	Ranch
Baseball 	Gymnasium Cz 	Rare Book Store
Baseball Club 	Gymnasium School 	Raw Food Restaurant
Baseball Field 	Gymnastics Center 	Ready Mix Concrete Supplier
Baseball Goods Store 	Gymnastics Club 	Real Estate Agency
Basilica 	Obstetrician-Gynecologist 	Real Estate Agents
Basket Supplier 	Gypsum Product Supplier 	Real Estate Appraiser
Basketball Club 	Gyro Restaurant 	Real Estate Attorney
Basketball Court 	Haberdashery 	Real Estate Auctioneer
Basketball Court Contractor 	Hair Extension Technician 	Real Estate Consultant
Basque Restaurant 	Hair Extensions Supplier 	Real Estate Developer
Bathroom Remodeler 	Hair Removal Service 	Real Estate Fair
Bathroom Supply Store 	Hair Replacement Service 	Real Estate Rental Agency
Battery Manufacturer 	Hair Salon 	Real Estate School
Battery Store 	Hair Transplantation Clinic 	Real Estate Surveyor
Battery Wholesaler 	Haitian Restaurant 	Reclamation Centre
Batting Cage Center 	Hakka Restaurant 	Record Company
Bazar 	Halal Restaurant 	Records Storage Facility
BBQ Area 	Halfway House 	Record Store
Beach Cleaning Service 	Ham Shop 	Recording Studio
Beach Clothing Store 	Hamburger Restaurant 	Recreation Center
Beach Entertainment Shop 	Hammam 	Recruiter
Beach Pavillion 	Hand Surgeon 	Rectory
Beach Resort 	Handbags Shop 	Recycling Center
Beach Volleyball Club 	Handball Club 	Reenactment Site
Beach Volleyball Court 	Handball Court 	Reflexologist
Bead Store 	Handicapped Transportation Service 	Reform Synagogue
Bead Wholesaler 	Handicraft 	Reformed Church
Bearing Supplier 	Handicraft Exporter 	Refrigerated Transport Service
Beauty Product Supplier 	Handicraft Fair 	Refrigerator Repair Service
Beauty Products Vending Machine 	Handicraft Museum 	Refrigerator Store
Beauty Products Wholesaler 	Handicraft School 	Refugee Camp
Beauty Salon 	Handicrafts Wholesaler 	Regional Airport
Beauty School 	Handyman 	Regional Council
Beauty Supply Store 	Hang Gliding Center 	Regional Government Office
Bed & Breakfast 	Hardware Store 	Registered General Nurse
Bed Shop 	Hardware Training Institute 	Registration Chamber
Bedding Store 	Harley-Davidson Dealer 	Registration Office
Bedroom Furniture Store 	Hat Shop 	Registry Office
Gyudon Restaurant 	Haunted House 	Rehabilitation Center
Beer Distributor 	Haute Couture Fashion House 	Reiki Therapist
Beer Garden 	Haute French Restaurant 	Religious Book Store
Beer Hall 	Hawaiian Goods Store 	Religious Destination
Beer Store 	Hawaiian Restaurant 	Religious Goods Store
Belgian Restaurant 	Hawker Centre 	Religious Institution
Belt Shop 	Hawker Stall 	Religious Organization
Berry Restaurant 	Hay Supplier 	Religious School
Betting Agency 	Head Start Center 	Religious Seminary
Beverage Distributor 	Health and Beauty Shop 	Remodeler
Bible Church 	Health Consultant 	Renault dealer
Bicycle Club 	Health Food Restaurant 	Renter’s Insurance Agency
Bicycle Rack 	Health Food Store 	Repair Service
Bicycle Rental Service 	Health Insurance Agency 	Reproductive Health Clinic
Bicycle Repair Shop 	Health Resort 	Reptile Store
Bike Sharing Station 	Health Spa 	Research and Product Development
Bicycle Store 	Hearing Aid Repair Service 	Research Engineer
Bicycle Wholesale 	Hearing Aid Store 	Research Foundation
Bikram Yoga Studio 	Heart Hospital 	Research Institute
Bilingual School 	Heating Contractor 	Resident Registration Office
Billiards Supply Store 	Heating Equipment Supplier 	Residential College
Bingo Hall 	Heating Oil Supplier 	Residents Association
Biochemical Supplier 	Height Works 	Resort
Biochemistry Lab 	Helicopter Charter 	Rest Stop
Biofeedback Therapist 	Helicopter Tour Agency 	Restaurant
Biotechnology Company 	Heliport 	Brasserie
Biotechnology Engineer 	Helium Gas Supplier 	Restaurant Supply Store
Bird Control Service 	Helpline 	Resume Service
Bird Shop 	Hematologist 	Retail Space Rental Agency
Bird Watching Area 	Herb Shop 	Retaining Wall Supplier
Birth Center 	Herbal Medicine Store 	Retirement Community
Birth Certificate Service 	Herbalist 	Retirement Home
Birth Control Center 	Heritage Building 	Retreat Center
Bistro 	Heritage Museum 	Rheumatologist
Blacksmith 	Heritage Preservation 	Rice Cracker Shop
Blast Cleaning Service 	High Ropes Course 	Rice Mill
Blind School 	High School 	Rice Restaurant
Blinds Shop 	Higher Secondary School 	Rice Shop
Blood Bank 	Highway Patrol 	Rice Wholesaler
Blood Donation Center 	Hiking Area 	River Port
Blood Testing Service 	Hindu Priest 	Road Construction Company
Blueprint Service 	Hindu Temple 	Road Construction Machine Repair Service
Blues Club 	Hip Hop Dance Class 	Road Cycling
BMW Dealer 	Hispanic Church 	Road Safety Town
BMW Motorcycle Dealer 	Historical Landmark 	Roads Ports and Canals Engineers Association
BMX Club 	Historical Place Museum 	Rock Climbing
BMX Park 	Historical Society 	Rock Climbing Gym
BMX Track 	History Museum 	Rock Climbing Instructor
Board Game Club 	HIV Testing Center 	Rock Landscaping Contractor
Board of Education 	Hoagie Restaurant 	Rock Music Club
Board of Trade 	Hobby Store 	Rock Shop
Boarding House 	Hockey Club 	Rodeo
Boarding School 	Hockey Field 	Rolled Metal Products Supplier
Boat Accessories Supplier 	Hockey Rink 	Roller Coaster
Boat Builders 	Hockey Supply Store 	Roller Skating Club
Boat Club 	Holding Company 	Roller Skating Rink
Boat Cover Supplier 	Holiday Accommodation Service 	Roman Restaurant
Boat Dealer 	Holiday Apartment Rental 	Romanian Restaurant
Boat Ramp 	Holiday Home 	Roofing Contractor
Boat Rental Service 	Holiday Park 	Roofing Supply Store
Boat Repair Shop 	Holistic Medicine Practitioner 	Roommate Referral Service
Boat Storage Facility 	Home Automation Company 	Rowing Area
Boat Tour Agency 	Home Builder 	Rowing Club
Boat Trailer Dealer 	Home Cinema Installation 	Rsl Club
Boatel 	Home Goods Store 	Rubber Products Supplier
Boating Instructor 	Home Hairdresser 	Rubber Stamp Store
Bocce Ball Court 	Home Health Care Service 	Rug Store
Body Piercing Shop 	Home Help 	Rugby
Body Shaping Class 	Home Help Service Agency 	Rugby Club
Boiler Manufacturer 	Home Improvement Store 	Rugby Field
Boiler Supplier 	Home Inspector 	Rugby League Club
Bonesetting House 	Home Insurance Agency 	Rugby Store
Bonsai Plant Supplier 	Home Theater Store 	Running Store
Book Publisher 	Homekill Service 	Russian Orthodox Church
Book Store 	Homeless Service 	Russian Restaurant
Bookbinder 	Homeless Shelter 	Rustic Furniture Store
Bookkeeping Service 	Homeopath 	RV Dealer
Bookmaker 	Homeopathic Pharmacy 	RV Park
Books Wholesaler 	Homeowners’ Association 	Recreational Vehicle Rental Agency
Boot Camp 	Honda Dealer 	RV Repair Shop
Boot Repair Shop 	Honduran Restaurant 	RV Storage Facility
Boot Store 	Honey Farm 	RV Supply Store
Border Crossing Station 	Hong Kong Style Fast Food Restaurant 	Saab Dealer
Border Guard 	Hookah Bar 	Sacem
Botanical Garden 	Hookah Store 	Saddlery
Bottle & Can Redemption Center 	Horse Boarding Stable 	Safe & Vault Shop
Bottled Water Supplier 	Horse Breeder 	Safety Equipment Supplier
Bouncy Castle Hire 	Horse Rental Service 	Sailing Club
Boutique 	Horse Riding Field 	Sailing Event Area
Boutique Hotel 	Horse Riding School 	Sailing School
Bowling Alley 	Horse Trailer Dealer 	Sailmaker
Bowling Club 	Horse Trainer 	Sake Brewery
Bowling Supply Shop 	Horseback Riding Service 	Salad Shop
Box Lunch Supplier 	Horse Transport Supplier 	Salsa Bar
Boxing Club 	Horseshoe Smith 	Salsa Classes
Boxing Gym 	Horsestable Studfarm 	Salvadoran Restaurant
Boxing Ring 	Hose Supplier 	Salvage Dealer
Boys’ High School 	Hospice 	Salvage Yard
BPO Company 	Hospital 	Samba School
BPO Placement Agency 	Hospital Equipment and Supplies 	Sambo School
Brake Shop 	Hospital Department 	Sambodrome
Brazilian Restaurant 	Hospitality and Tourism School 	Sand & Gravel Supplier
Breakfast Restaurant 	Hospitality High School 	Sand Plant
Brewery 	Host Club 	Sandblasting Service
Brewing Supply Store 	Hostel 	Sandwich Shop
Brewpub 	Hot Bedstone Spa 	Sanitary Inspection
Brick Manufacturer 	Hot Dog Restaurant 	Sanitation Service
Bricklayer 	Hot Dog Stand 	Satellite Communication Service
Bridal Shop 	Hot Pot Restaurant 	Saturn Dealer
Bridge 	Hot Spring Hotel 	Sauna
Bridge Club 	Hot Tub Repair Service 	Sauna Club
British Restaurant 	Hot Tub Store 	Sauna Store
Brunch Restaurant 	Hot Water System Supplier 	Savings Bank
Bubble Tea 	Hotel 	Saw Mill
Buddhist Supplies Store 	Hotel Management School 	Saw Sharpening Service
Buddhist Temple 	Hotel Supply Store 	Scaffolder
Budget Hotel 	House Cleaning Service 	Scaffolding Rental Service
Budget Japanese Inn 	House Clearance Service 	Scale Model Club
Buffet Restaurant 	House Sitter 	Model Shop
Buick Dealer 	House Sitter Agency 	Scale Repair Service
Building Consultant 	Houseboat Rental Service 	Scale Supplier
Building Design Company 	Household Chemicals Supplier 	Scandinavian Restaurant
Building Equipment Hire Service 	Household Goods Wholesaler 	Scenic Spot
Building Firm 	Housing Association 	School
Building Inspector 	Housing Authority 	School Administrator
Building Materials Market 	Housing Complex 	School Bus Service
Building Materials Store 	Housing Cooperative 	School Center
Building Materials Supplier 	Housing Development 	School District Office
Building Restoration Service 	Housing Society 	School For The Deaf
Building Society 	Housing Utility Company 	School House
Chartered Surveyor 	Hua Gong Shop 	School Lunch Center
Bulgarian Restaurant 	Hua Hui Market Place 	School Supply Store
Bullring 	Hua Niao Market Place 	School Youth Hostel
Bungee Jumping Center 	Hub Cap Supplier 	Science Academy
Burglar Alarm Store 	Huissier 	Science Museum
Burmese Restaurant 	Human Resource Consulting 	Scientific Equipment Supplier
Burrito Restaurant 	Hunan Restaurant 	Scooter Rental Service
Bus and Coach Company 	Hungarian Restaurant 	Scooter Repair Shop
Bus Charter 	Hunting and Fishing Store 	Scout Hall
Bus Company 	Hunting Area 	Scout Home
Bus Ticket Agency 	Hunting Club 	Scouting
Bus Tour Agency 	Hunting Preserve 	Scrap Metal Dealer
Business Administration Service 	Hunting Store 	Scrapbooking Store
Business Broker 	HVAC Contractor 	Screen Printer
Business Center 	Hydraulic Engineer 	Screen Printing Shop
Business Development Service 	Hydraulic Equipment Supplier 	Screen Printing Supply Store
Business Hotel 	Hydraulic Repair Service 	Screen Repair Service
Business Management Consultant 	Hydroelectric Power Plant 	Screen Store
Business Networking Company 	Hydroponics Equipment Supplier 	Screw Supplier
Business Park 	Hygiene Articles Wholesaler 	SCUBA Instructor
Business School 	Hygiene Station 	SCUBA Tour Agency
Business to Business Service 	Hypermarket 	Sculptor
Butane Gas Supplier 	Hypnotherapy Service 	Sculpture
Butcher Shop 	Hyundai Dealer 	Sculpture Museum
Butcher Shop Deli 	Ice Cream Equipment Supplier 	Seafood Donburi Restaurant
